1091.77	1098.42	S177
1156.40	1165.16	S177
1165.16	1185.06	S177
1185.06	1192.25	S177
1098.42	1115.21	S181
1115.21	1132.23	S181
1132.23	1141.36	S181
1141.36	1156.40	S181
1215.86	1224.45	S200
1224.45	1242.95	S200
1242.95	1251.03	S200
1266.13	1271.25	S209
1271.25	1288.68	S209
1288.68	1302.28	S209
1328.17	1339.49	S209
1339.49	1351.23	S209
1351.23	1362.64	S209
1381.28	1390.48	S209
1390.48	1409.64	S209
1409.64	1418.25	S209
1418.25	1426.17	S209
1438.16	1445.79	S209
1445.79	1459.53	S209
1470.13	1489.12	S209
1489.12	1497.14	S209
1512.43	1518.29	S209
1521.13	1533.51	S209
1571.92	1581.29	S257
1654.88	1656.60	S257
1669.61	1675.36	S257
1795.65	1798.51	S257
1582.15	1590.65	S258
1590.77	1602.67	S258
1602.97	1606.94	S258
1606.94	1621.88	S262
1621.88	1639.74	S264
1639.74	1654.54	S268
1656.60	1669.61	S272
1675.54	1685.95	S272
1700.20	1705.02	S278
1705.02	1712.26	S279
1712.49	1714.40	S279
1714.55	1726.59	S279
1728.82	1740.68	S279
1740.68	1749.43	S283
1749.43	1762.53	S283
1762.81	1776.90	S283
1776.90	1785.69	S289
1785.73	1791.66	S289
1820.95	1839.43	S296
1839.43	1846.44	S296
1846.44	1852.19	S296
1852.19	1860.79	S296
1860.79	1874.77	S296
1874.77	1886.57	S296
1900.37	1908.71	S296
1908.71	1922.55	S296
1922.55	1935.08	S296
1935.08	1950.15	S296
1957.47	1966.37	S296
1966.37	1979.50	S296
1984.35	2004.01	S296
2004.01	2018.32	S296
2018.32	2032.36	S296
2035.56	2054.10	S296
202.42	218.33	S33
218.33	238.28	S33
238.28	246.98	S33
246.98	256.74	S33
256.74	269.93	S33
269.93	284.28	S33
284.28	289.98	S33
289.98	302.23	S33
302.23	309.15	S33
2059.43	2075.41	S33
2188.00	2191.21	S33
2248.32	2252.88	S33
2252.88	2268.57	S33
2268.57	2278.24	S33
2301.31	2310.54	S33
2330.96	2339.29	S33
2032.36	2035.56	S332
2075.41	2089.06	S338
2089.06	2104.36	S338
2104.36	2114.89	S338
2143.67	2159.47	S338
2159.47	2164.17	S338
2191.35	2199.74	S338
2199.74	2213.66	S338
2237.48	2248.32	S338
2115.27	2125.71	S344
2125.71	2140.96	S344
2164.17	2180.73	S350
2180.73	2188.00	S350
2223.28	2225.76	S357
2229.48	2231.54	S357
2278.24	2287.22	S365
2287.22	2301.31	S365
2310.54	2326.36	S365
2326.36	2330.96	S365
2346.08	2355.11	S375
2355.15	2368.78	S375
2368.78	2376.74	S375
2376.74	2381.18	S375
2381.18	2401.09	S375
2401.09	2411.32	S375
349.05	351.08	S59
360.88	366.66	S59
371.24	374.82	S59
353.57	360.88	S60
374.82	379.16	S60
396.46	399.40	S60
366.66	370.16	S62
394.51	396.46	S66
406.93	414.45	S66
399.40	401.00	S68
401.46	403.05	S68
403.38	405.94	S68
420.77	424.21	S68
441.34	452.61	S74
452.67	468.97	S74
468.97	473.86	S74
476.82	480.45	S74
480.77	486.68	S74
486.68	501.47	S74
501.47	519.89	S74
519.89	522.40	S74
522.40	533.04	S87
533.04	543.95	S87
550.31	556.37	S87
561.24	567.27	S93
574.57	584.97	S93
584.97	595.49	S93
